2021/03/15(15:51:42),-0.255,0.8,
2021/03/15(15:51:42),-0.243,0.96,
2021/03/15(15:51:42),-0.243,0.7,
2021/03/15(15:51:42),-0.245,0.43,
2021/03/15(15:51:42),-0.218,-0.48,
2021/03/15(15:51:43),-0.169,-0.76,
2021/03/15(15:51:43),-0.116,0.8,
2021/03/15(15:51:43),-0.096,-0.43,
2021/03/15(15:51:43),-0.094,-0.02,
2021/03/15(15:51:43),-0.1,-0.55,
2021/03/15(15:51:43),-0.103,0.09,
2021/03/15(15:51:44),0.026,-0.51,
2021/03/15(15:51:44),0.127,-0.1,
2021/03/15(15:51:44),0.151,0.43,
2021/03/15(15:51:44),0.158,0.85,
2021/03/15(15:51:44),0.153,-0.25,
2021/03/15(15:51:45),0.145,0.51,
2021/03/15(15:51:45),0.144,-0.49,
2021/03/15(15:51:45),0.146,0.83,
2021/03/15(15:51:45),0.149,-0.63,
2021/03/15(15:51:45),0.151,-0.02,
2021/03/15(15:51:46),0.148,0.37,
2021/03/15(15:51:46),0.149,-0.22,
2021/03/15(15:51:46),0.145,0.42,
2021/03/15(15:51:46),0.15,0.6,
2021/03/15(15:51:46),0.15,0.4,
2021/03/15(15:51:47),0.156,0.66,
2021/03/15(15:51:47),0.15,0.62,
2021/03/15(15:51:47),0.14,0.69,
2021/03/15(15:51:47),0.133,-0.77,
2021/03/15(15:51:47),0.106,0.13,
2021/03/15(15:51:48),0.108,-0.9,
2021/03/15(15:51:48),0.127,0.78,
2021/03/15(15:51:48),0.136,0.94,
2021/03/15(15:51:48),0.062,-0.44,
2021/03/15(15:51:48),-0.056,0.86,
2021/03/15(15:51:49),0.039,0.44,
2021/03/15(15:51:49),0.132,0.76,
2021/03/15(15:51:49),0.145,-0.48,
2021/03/15(15:51:49),0.145,0.14,
2021/03/15(15:51:49),0.152,-0.81,
2021/03/15(15:51:49),0.156,-0.29,
2021/03/15(15:51:50),0.157,-0.37,
2021/03/15(15:51:50),0.152,-0.76,
2021/03/15(15:51:50),0.143,-0.46,
2021/03/15(15:51:50),0.131,0.81,
2021/03/15(15:51:50),0.124,-0.12,
2021/03/15(15:51:51),0.129,0.59,
2021/03/15(15:51:51),0.134,0.79,
2021/03/15(15:51:51),0.114,-0.39,
2021/03/15(15:51:51),-0.014,0.53,
2021/03/15(15:51:51),-0.114,0.88,
2021/03/15(15:51:52),-0.148,-0.2,
2021/03/15(15:51:52),-0.147,-0.17,
2021/03/15(15:51:52),-0.144,-0.64,
2021/03/15(15:51:52),-0.12,0.67,
2021/03/15(15:51:52),0.015,0.39,
2021/03/15(15:51:53),0.134,-0.49,
2021/03/15(15:51:53),0.155,-0.34,
2021/03/15(15:51:53),0.158,0.1,
2021/03/15(15:51:53),0.155,0.27,
2021/03/15(15:51:53),0.154,0.81,
2021/03/15(15:51:54),0.153,0.36,
2021/03/15(15:51:54),0.156,-0.65,
2021/03/15(15:51:54),0.151,0.72,
2021/03/15(15:51:54),0.121,0.98,
2021/03/15(15:51:54),0.121,0.87,
2021/03/15(15:51:55),0.143,-0.11,
2021/03/15(15:51:55),0.079,-0.1,
2021/03/15(15:51:55),0.125,-0.88,
2021/03/15(15:51:55),0.168,0.12,
2021/03/15(15:51:55),0.173,0.51,
2021/03/15(15:51:55),0.17,0.21,
2021/03/15(15:51:56),0.169,0.28,
2021/03/15(15:51:56),0.165,-1.0,
2021/03/15(15:51:56),0.161,0.54,
2021/03/15(15:51:56),0.162,0.94,
2021/03/15(15:51:56),0.166,-0.68,
2021/03/15(15:51:57),0.164,0.77,
2021/03/15(15:51:57),0.158,-0.68,
2021/03/15(15:51:57),0.161,0.83,
2021/03/15(15:51:57),0.169,0.53,
2021/03/15(15:51:57),0.168,0.21,
2021/03/15(15:51:58),0.169,-0.82,
2021/03/15(15:51:58),0.165,0.0,
2021/03/15(15:51:58),0.161,0.2,
2021/03/15(15:51:58),0.167,0.99,
2021/03/15(15:51:58),0.167,0.44,
2021/03/15(15:51:59),0.172,-0.3,
2021/03/15(15:51:59),0.173,0.99,
2021/03/15(15:51:59),0.168,-0.82,
2021/03/15(15:51:59),0.173,-0.48,
2021/03/15(15:51:59),0.178,-1.0,
2021/03/15(15:52:00),0.18,-0.6,
2021/03/15(15:52:00),0.167,0.85,
2021/03/15(15:52:00),0.094,0.15,
2021/03/15(15:52:00),0.046,-0.22,
2021/03/15(15:52:00),0.01,0.61,
2021/03/15(15:52:00),-0.003,-0.52,
2021/03/15(15:52:01),-0.001,-0.6,
2021/03/15(15:52:01),0.027,0.7,
2021/03/15(15:52:01),0.097,-0.49,
2021/03/15(15:52:01),0.156,-0.31,
2021/03/15(15:52:01),0.181,-0.31,
2021/03/15(15:52:02),0.191,0.72,
2021/03/15(15:52:02),0.203,0.25,
2021/03/15(15:52:02),0.197,-0.5,
2021/03/15(15:52:02),0.196,-0.57,
2021/03/15(15:52:02),0.188,-0.31,
2021/03/15(15:52:03),0.142,0.94,
2021/03/15(15:52:03),0.068,0.92,
2021/03/15(15:52:03),0.023,0.24,
2021/03/15(15:52:03),-0.003,0.19,
2021/03/15(15:52:03),0.003,0.62,
2021/03/15(15:52:04),0.006,0.25,
2021/03/15(15:52:04),0.05,0.49,
2021/03/15(15:52:04),0.091,0.22,
2021/03/15(15:52:04),0.123,-0.07,
2021/03/15(15:52:04),0.146,0.22,
2021/03/15(15:52:05),0.161,0.66,
2021/03/15(15:52:05),0.165,-0.77,
2021/03/15(15:52:05),0.168,-0.61,
2021/03/15(15:52:05),0.167,0.93,
2021/03/15(15:52:05),0.159,0.78,
2021/03/15(15:52:06),0.074,0.71,
2021/03/15(15:52:06),0.026,0.55,
2021/03/15(15:52:06),0.021,-0.11,
2021/03/15(15:52:06),0.025,0.2,
2021/03/15(15:52:06),0.073,0.12,
2021/03/15(15:52:06),0.11,0.47,
2021/03/15(15:52:07),0.123,-0.49,
2021/03/15(15:52:07),0.129,-0.89,
2021/03/15(15:52:07),0.123,0.36,
2021/03/15(15:52:07),0.081,-0.93,
2021/03/15(15:52:07),0.059,-0.34,
2021/03/15(15:52:08),0.047,-0.88,
2021/03/15(15:52:08),0.047,-0.6,
2021/03/15(15:52:08),0.053,-0.43,
2021/03/15(15:52:08),0.068,-0.05,
2021/03/15(15:52:08),0.107,-0.49,
2021/03/15(15:52:09),0.123,-0.06,
2021/03/15(15:52:09),0.133,0.38,
2021/03/15(15:52:09),0.134,-0.25,
2021/03/15(15:52:09),0.13,-0.08,
2021/03/15(15:52:09),0.119,0.62,
2021/03/15(15:52:10),0.096,-0.64,
2021/03/15(15:52:10),0.078,-0.27,
2021/03/15(15:52:10),0.073,-0.16,
2021/03/15(15:52:10),0.069,0.19,
2021/03/15(15:52:10),0.065,0.28,
2021/03/15(15:52:11),0.058,-0.38,
2021/03/15(15:52:11),0.049,0.16,
2021/03/15(15:52:11),0.037,0.72,
2021/03/15(15:52:11),0.031,-1.0,
2021/03/15(15:52:11),0.027,0.98,
2021/03/15(15:52:12),0.028,0.45,
2021/03/15(15:52:12),0.032,0.0,
2021/03/15(15:52:12),0.028,0.92,
2021/03/15(15:52:12),0.027,0.83,
2021/03/15(15:52:12),0.026,-0.99,
2021/03/15(15:52:12),0.025,-0.79,
2021/03/15(15:52:13),0.022,0.13,
2021/03/15(15:52:13),0.024,0.31,
2021/03/15(15:52:13),0.019,-0.81,
2021/03/15(15:52:13),0.023,-0.44,
2021/03/15(15:52:13),0.039,-0.46,
2021/03/15(15:52:14),0.053,-0.86,
2021/03/15(15:52:14),0.093,0.37,
2021/03/15(15:52:14),0.13,-0.03,
2021/03/15(15:52:14),0.162,0.6,
2021/03/15(15:52:14),0.192,0.91,
2021/03/15(15:52:15),0.22,0.74,
2021/03/15(15:52:15),0.232,-0.23,
2021/03/15(15:52:15),0.225,0.84,
2021/03/15(15:52:15),0.228,0.5,
2021/03/15(15:52:15),0.233,0.99,
2021/03/15(15:52:16),0.244,-0.91,
2021/03/15(15:52:16),0.253,0.64,
2021/03/15(15:52:16),0.253,-0.88,
2021/03/15(15:52:16),0.252,0.34,
2021/03/15(15:52:16),0.249,0.83,
2021/03/15(15:52:17),0.247,-0.41,
2021/03/15(15:52:17),0.251,0.53,
2021/03/15(15:52:17),0.229,0.21,
2021/03/15(15:52:17),0.173,-0.47,
2021/03/15(15:52:17),0.114,-0.04,
2021/03/15(15:52:18),0.081,-0.39,
2021/03/15(15:52:18),0.048,-0.09,
2021/03/15(15:52:18),0.031,0.2,
2021/03/15(15:52:18),0.023,-0.13,
2021/03/15(15:52:18),0.021,-0.28,
2021/03/15(15:52:18),0.021,-0.59,
2021/03/15(15:52:19),0.019,0.51,
2021/03/15(15:52:19),0.02,-0.55,
2021/03/15(15:52:19),0.026,-0.26,
2021/03/15(15:52:19),0.025,0.76,
2021/03/15(15:52:19),0.023,-0.74,
2021/03/15(15:52:20),0.025,0.44,
